wordPairs,English Translation,PairMeanConcreteness,clusters,assocStrength,MeanPairSimilarity,SD,min,max,median,range,skewness,Q1,Q3,primeWord,PrimeMeanConcreteness,SD,min,max,median,range,skewness,Q1,Q3,gramCat,nbletters,orthNeighbours,old20,FLP_RT,MegalexRT,MovieFrequency,BookFrequency,BlogFreqPm,TwitterFreqPm,NewsFreqPm,targetWord,TargetMeanConcreteness,SD,min,max,median,range,skewness,Q1,Q3,gramCat,nbletters,orthNeighbours,old20,FLP_RT,Megalex_RT,MovieFrequency,BookFrequency,BlogFreqPm,TwitterFreqPm,NewsFreqPm
humain-animal,human animal,"5,60","3,00","0,03","3,88","1,87","1,00","7,00","4,00","6,00","-0,05","3,00","5,00",humain,"5,05","1,85","1,00","7,00","5,00","6,00","-0,63","4,00","7,00",ADJ,"6,00","2,00","1,75","617,58","513,00","50,53","35,81","103,59","32,55","27,50",animal,"6,14","1,26","2,00","7,00","7,00","5,00","-1,66","6,00","7,00",ADJ,"6,00","2,00","1,80","567,17","496,72","3,34","6,01","45,53","15,28","22,27"
humble-modeste,humble modest,"2,81","1,00",NA,"5,68","1,04","2,00","7,00","6,00","5,00","-0,86","5,00","6,00",humble,"2,74","1,16","1,00","6,00","3,00","5,00","0,25","2,00","4,00",ADJ,"6,00","0,00","2,15","667,33","597,22","9,66","12,84","11,19","6,29","2,51",modeste,"2,88","1,40","1,00","7,00","3,00","6,00","1,04","2,00","3,50",ADJ,"7,00","2,00","1,90","612,28","530,10","9,06","23,38","17,08","8,02","20,20"
hybride-mélange,hybrid mix,"3,75","1,00","0,08","4,49","1,77","1,00","7,00","5,00","6,00","-0,74","4,00","6,00",hybride,"3,62","1,91","1,00","7,00","3,00","6,00","0,39","2,00","5,00",ADJ,"7,00","1,00","2,70",NA,"597,53","0,74","0,81","5,40","4,30","6,72",mélange,"3,88","1,43","1,00","7,00","4,00","6,00","0,42","3,00","4,00",NOM,"7,00","2,00","1,65","615,24","514,67","9,56","28,58","113,63","19,90","21,51"
idéaliser-rêver,idealise dream,"2,65","1,00",NA,"4,56","1,50","1,00","7,00","5,00","6,00","-0,83","4,00","6,00",idéaliser,"2,34","1,55","1,00","7,00","2,00","6,00","1,69","1,00","3,00",VER,"9,00","0,00","2,30",NA,NA,"0,13","0,20","0,55","0,11","0,18",rêver,"2,96","1,79","1,00","7,00","3,00","6,00","0,84","1,75","4,00",VER,"5,00","3,00","1,70","568,24","535,83","20,80","29,39","37,10","53,86","17,36"
idéal-parfait,ideal perfect,"2,36","1,00","0,40","5,29","1,52","1,00","7,00","6,00","6,00","-1,01","5,00","6,00",idéal,"2,48","1,55","1,00","7,00","2,00","6,00","1,43","1,75","3,00",ADJ,"5,00","1,00","2,10","642,88","505,92","15,80","7,97","43,77","23,19","23,50",parfait,"2,25","1,77","1,00","7,00","2,00","6,00","1,65","1,00","2,50",VER,"7,00","4,00","1,60","635,56","502,42","45,92","11,89","67,46","95,44","23,50"
ignorance-déni,ignorance denial,"3,20","1,00",NA,"3,33","2,02","1,00","7,00","3,00","6,00","0,16","1,00","5,00",ignorance,"3,42","1,67","1,00","7,00","3,00","6,00","0,59","2,00","4,00",NOM,"9,00","1,00","2,65","658,92","574,24","6,54","16,35","16,99","5,78","3,54",déni,"2,98","1,68","1,00","7,00","3,00","6,00","0,80","2,00","4,00",NOM,"4,00","3,00","1,65",NA,NA,"0,78","0,27","7,58","3,29","8,83"
ignorer-mépriser,ignore despise,"3,19","1,00",NA,"3,91","1,86","1,00","7,00","4,00","6,00","0,00","3,00","5,00",ignorer,"3,27","1,56","1,00","7,00","3,00","6,00","1,08","2,00","4,00",VER,"7,00","2,00","1,80","676,16","558,41","13,04","16,89","15,50","5,35","10,00",mépriser,"3,12","1,66","1,00","7,00","3,00","6,00","0,77","2,00","4,00",VER,"8,00","2,00","1,80","641,20","578,66","1,76","4,93","2,06","0,87","0,76"
image-son,image sound,"4,66","2,00",NA,"2,53","1,79","1,00","6,00","2,00","5,00","0,72","1,00","4,00",image,"5,06","1,82","1,00","7,00","6,00","6,00","-0,86","4,00","6,00",NOM,"5,00","2,00","1,65","564,25","491,11","51,34","119,39","170,51","107,75","136,20",son,"4,25","1,83","1,00","7,00","4,00","6,00","-0,18","3,00","6,00",ADJ:pos,"3,00","17,00","1,00","567,04","495,92","1740,43","4696,15","3095,93","1605,73","3782,26"
imiter-répéter,imitate repeat,"4,24","2,00",NA,"4,59","1,72","1,00","7,00","5,00","6,00","-0,51","3,00","6,00",imiter,"3,90","1,70","1,00","7,00","4,00","6,00","0,22","3,00","5,00",VER,"6,00","2,00","1,70","781,04","602,57","6,01","12,97","5,92","3,97","3,07",répéter,"4,58","1,89","1,00","7,00","5,00","6,00","-0,32","3,00","6,00",VER,"7,00","2,00","1,85","654,35",NA,"22,22","30,88","20,23","8,74","11,19"
immatériel-spirituel,intangible spiritual,"2,43","1,00",NA,"3,37","1,77","1,00","7,00","3,00","6,00","0,29","2,00","5,00",immatériel,"2,72","1,96","1,00","7,00","2,00","6,00","0,99","1,00","3,50",ADJ,"10,00","0,00","3,40","742,14",NA,"0,23","1,76","2,18","1,48","2,10",spirituel,"2,14","1,33","1,00","6,00","2,00","5,00","0,99","1,00","3,00",ADJ,"9,00","0,00","3,30","638,91","603,59","6,83","4,93","14,47","2,71","3,86"
immunité-santé,immunity health,"3,55","1,00","0,01","3,86","1,86","1,00","7,00","4,00","6,00","-0,28","2,00","5,00",immunité,"3,05","1,51","1,00","7,00","3,00","6,00","0,70","2,00","4,00",NOM,"8,00","2,00","2,45","775,00","639,81","2,92","1,42","3,76","1,99","9,38",santé,"4,05","1,63","1,00","7,00","4,00","6,00","0,29","3,00","5,00",NOM,"5,00","4,00","1,70","636,16","513,49","88,58","52,43","153,10","95,22","225,87"
inaction-apathie,inaction apathy,"2,97","1,00",NA,"3,31","1,96","1,00","7,00","3,00","6,00","0,21","1,00","5,00",inaction,"3,10","1,78","1,00","7,00","3,00","6,00","0,93","2,00","4,00",NOM,"8,00","0,00","2,15","1005,15",NA,"0,12","2,36","2,24","0,69","2,40",apathie,"2,84","1,60","1,00","6,00","2,00","5,00","0,73","2,00","4,00",NOM,"7,00","0,00","2,45","772,44","663,39","0,91","1,49","1,88","2,96","1,32"
incident-conflit,incident conflict,"3,74","1,00",NA,"3,86","1,70","1,00","7,00","4,00","6,00","-0,39","3,00","5,00",incident,"3,71","1,85","1,00","7,00","4,00","6,00","0,25","2,00","5,00",ADJ,"8,00","1,00","2,05","679,29","524,22","1,12","0,95","12,62","11,81","38,87",conflit,"3,78","1,61","1,00","7,00","4,00","6,00","0,39","3,00","5,00",NOM,"7,00","0,00","1,90","689,04","519,85","9,63","11,08","42,56","10,26","56,76"
individu-personne,individual person,"5,26","2,00","0,33","6,00","1,08","3,00","7,00","6,00","4,00","-1,05","5,00","7,00",individu,"5,10","1,52","1,00","7,00","5,00","6,00","-0,80","4,00","6,00",NOM,"8,00","0,00","3,05","595,21","551,88","9,04","19,53","49,23","5,45","22,27",personne,"5,42","1,97","1,00","7,00","6,00","6,00","-1,13","4,00","7,00",ADJ,"8,00","0,00","2,35","698,92","507,13","0,01","0,00","403,18","376,83","265,30"
inexplicable-étrange,inexplicable strange,"2,69","1,00",NA,"4,16","1,62","1,00","7,00","4,00","6,00","-0,36","3,00","5,00",inexplicable,"2,89","1,33","1,00","7,00","3,00","6,00","0,96","2,00","3,25",ADJ,"12,00","0,00","2,90","748,52",NA,"1,96","5,61","3,61","0,69","1,61",étrange,"2,49","1,57","1,00","7,00","2,00","6,00","1,27","1,00","3,00",ADJ,"7,00","0,00","1,85","632,79","541,02","70,99","83,65","66,62","43,74","13,59"
infection-maladie,infection disease,"4,84","2,00","0,34","5,00","1,36","1,00","7,00","5,00","6,00","-0,73","5,00","6,00",infection,"4,71","1,66","1,00","7,00","5,00","6,00","-0,33","3,00","6,00",NOM,"9,00","1,00","2,05","672,50","570,54","9,55","1,69","6,34","2,24","6,78",maladie,"4,97","1,38","1,00","7,00","5,00","6,00","-0,53","4,00","6,00",NOM,"7,00","1,00","1,80","625,14","533,72","52,18","49,59","70,26","26,59","76,66"
infini-éternel,infinity eternal,"2,25","1,00",NA,"5,61","1,61","1,00","7,00","6,00","6,00","-1,53","5,00","7,00",infini,"1,95","1,49","1,00","7,00","1,00","6,00","1,61","1,00","2,50",ADJ,"6,00","0,00","2,40","646,76","553,71","3,86","6,69","22,24","6,00","2,84",éternel,"2,55","2,05","1,00","7,00","2,00","6,00","1,38","1,00","3,00",ADJ,"7,00","0,00","2,20","600,16","534,12","14,06","19,86","19,32","7,12","5,61"
infirmière-psychologue,nurse psychologist,"5,85","3,00",NA,"2,83","1,77","1,00","7,00","2,00","6,00","0,55","1,00","4,00",infirmière,"6,45","0,71","4,00","7,00","7,00","3,00","-1,36","6,00","7,00",NOM,"10,00","0,00","3,35","669,38",NA,"27,14","22,97","12,35","5,17","9,24",psychologue,"5,24","1,80","1,00","7,00","6,00","6,00","-0,76","4,00","7,00",NOM,"11,00","1,00","3,20","687,05",NA,"5,98","2,64","5,76","1,73","6,72"
ingénieur-architecte,engineer architect,"5,57","3,00","0,05","3,58","1,81","1,00","7,00","4,00","6,00","-0,13","2,00","5,00",ingénieur,"5,38","1,35","1,00","7,00","5,00","6,00","-0,82","4,50","6,50",NOM,"9,00","1,00","2,45","620,48","563,69","18,92","9,12","9,13","13,62","18,27",architecte,"5,76","1,32","3,00","7,00","6,00","4,00","-0,69","5,00","7,00",NOM,"10,00","0,00","3,50","773,80",NA,"8,39","4,93","9,10","6,32","18,47"
ingénieux-rusé,ingenious cunning,"3,41","1,00",NA,"5,24","1,32","2,00","7,00","6,00","5,00","-0,61","4,00","6,00",ingénieux,"3,55","1,61","1,00","7,00","3,00","6,00","0,55","2,00","4,50",ADJ,"9,00","1,00","2,65","692,00","608,32","2,90","2,77","1,73","0,83","0,85",rusé,"3,27","1,56","1,00","7,00","3,00","6,00","0,55","2,00","4,00",VER,"4,00","6,00","1,45","619,38","545,27","1,53","0,95","1,88","0,25","0,56"
ingéniosité-intelligence,ingenuity intelligence,"2,64","1,00",NA,"4,59","1,50","1,00","7,00","5,00","6,00","-1,22","4,00","5,00",ingéniosité,"2,64","1,39","1,00","6,00","2,00","5,00","0,63","2,00","4,00",NOM,"11,00","0,00","3,60","905,88",NA,"0,70","3,31","2,24","0,36","1,05",intelligence,"2,64","1,64","1,00","7,00","2,00","6,00","0,91","1,00","4,00",NOM,"12,00","1,00","3,10","675,52",NA,"18,27","36,22","43,89","20,92","14,41"
injustice-inégalité,injustice inequality,"3,25","1,00","0,01","4,69","1,82","1,00","7,00","5,00","6,00","-0,59","4,00","6,00",injustice,"3,50","1,84","1,00","7,00","3,00","6,00","0,70","2,00","4,00",NOM,"9,00","0,00","2,95","717,00","569,92","4,61","11,49","16,99","4,80","12,54",inégalité,"3,00","1,64","1,00","7,00","3,00","6,00","0,55","2,00","4,00",NOM,"9,00","0,00","2,65","744,92","602,77","0,33","1,35","6,40","1,12","3,54"
innocence-naïveté,innocence naivety,"2,60","1,00",NA,"4,60","1,99","1,00","7,00","5,00","6,00","-0,62","3,00","6,00",innocence,"2,66","1,56","1,00","7,00","2,00","6,00","1,01","1,25","3,75",NOM,"9,00","1,00","2,35","658,65","575,06","10,63","19,59","14,23","5,27","17,13",naïveté,"2,54","1,63","1,00","7,00","2,00","6,00","1,71","2,00","3,00",NOM,"7,00","0,00","2,65","719,87","570,34","0,94","9,86","8,43","2,42","3,71"
inondation-avalanche,flood avalanche,"6,04","3,00",NA,"2,93","1,86","1,00","7,00","2,50","6,00","0,63","1,00","4,00",inondation,"5,91","1,44","1,00","7,00","6,00","6,00","-1,59","5,00","7,00",NOM,"10,00","0,00","2,80","751,86",NA,"2,15","2,43","2,70","2,28","3,10",avalanche,"6,17","1,07","3,00","7,00","6,00","4,00","-1,43","6,00","7,00",NOM,"9,00","0,00","2,80","768,42","581,22","1,89","4,86","3,55","4,30","6,66"
intérêt-profit,interest profit,"2,95","1,00",NA,"4,98","1,49","1,00","7,00","5,00","6,00","-0,78","4,00","6,00",intérêt,"3,00","1,54","1,00","7,00","3,00","6,00","0,93","2,00","4,00",NOM,"7,00","0,00","2,80","579,91","524,89","63,63","75,00","143,54","105,08","147,66",profit,"2,89","1,43","1,00","6,00","3,00","5,00","0,56","2,00","4,00",NOM,"6,00","3,00","1,65","642,21","551,63","12,26","22,77","51,48","12,82","48,05"
interprétation-explication,interpretation explanation,"2,87","1,00","0,01","3,53","1,83","1,00","7,00","4,00","6,00","0,06","2,00","5,00",interprétation,"2,06","0,98","1,00","4,00","2,00","3,00","0,69","1,00","2,75",NOM,"14,00","0,00","3,10","729,88",NA,"4,90","5,68","25,88","6,97","13,62",explication,"3,69","1,49","1,00","7,00","4,00","6,00","0,08","3,00","4,25",NOM,"11,00","0,00","2,35","669,75",NA,"24,60","28,85","34,98","20,08","24,55"
introspection-concentration,introspection focus,"2,83","1,00",NA,"2,66","1,66","1,00","6,00","2,00","5,00","0,54","1,00","4,00",introspection,"2,03","1,17","1,00","5,00","2,00","4,00","0,77","1,00","3,00",NOM,"13,00","0,00","3,25",NA,NA,"0,33","0,14","3,46","0,87","0,73",concentration,"3,64","1,85","1,00","7,00","3,50","6,00","0,31","2,00","5,00",NOM,"13,00","0,00","3,20","722,26",NA,"8,46","10,27","20,54","7,15","15,81"
invité-visiteur,guest visitor,"4,96","2,00","0,12","3,82","1,75","1,00","7,00","4,00","6,00","-0,29","2,25","5,00",invité,"4,39","1,84","1,00","7,00","5,00","6,00","-0,41","3,00","6,00",VER,"6,00","3,00","1,75","596,00","551,72","28,27","14,05","27,63","67,84","42,09",visiteur,"5,53","1,37","1,00","7,00","6,00","6,00","-1,12","5,00","7,00",NOM,"8,00","0,00","2,35","625,67","512,89","4,74","15,07","7,01","5,49","7,51"
isolement-solitude,isolation loneliness,"3,44","1,00","0,03","5,18","1,54","1,00","7,00","5,50","6,00","-1,06","4,75","6,00",isolement,"3,30","1,61","1,00","7,00","3,00","6,00","0,72","2,00","4,00",NOM,"9,00","1,00","2,50","686,50","600,90","5,63","7,91","9,65","1,70","9,70",solitude,"3,58","2,04","1,00","7,00","3,00","6,00","0,43","2,00","5,00",NOM,"8,00","0,00","2,85","677,04","522,86","19,48","66,96","32,28","11,09","7,10"
jalousie-envie,jealousy wish,"3,03","1,00",NA,"4,72","1,66","1,00","7,00","5,00","6,00","-0,66","3,00","6,00",jalousie,"3,03","1,46","1,00","7,00","3,00","6,00","0,97","2,00","4,00",NOM,"8,00","1,00","2,40","634,25","538,60","13,20","22,09","12,98","9,97","3,89",envie,"3,03","1,78","1,00","7,00","3,00","6,00","0,69","2,00","4,00",NOM,"5,00","2,00","1,65","644,50","528,56","210,62","252,09","313,33","533,21","111,53"
jardin-forêt,garden forest,"6,02","3,00",NA,"2,93","1,55","1,00","6,00","3,00","5,00","0,13","1,00","4,00",jardin,"6,05","1,07","3,00","7,00","6,00","4,00","-1,00","5,00","7,00",NOM,"6,00","0,00","1,80","569,09","498,12","54,01","148,72","82,24","32,47","36,80",forêt,"6,00","1,31","1,00","7,00","6,00","6,00","-0,86","5,50","7,00",NOM,"5,00","1,00","1,85","587,96","501,61","29,57","91,89","51,27","12,07","24,17"
jupe-pantalon,skirt trousers,"6,63","3,00","0,02","2,60","1,70","1,00","6,00","2,00","5,00","0,46","1,00","4,00",jupe,"6,45","0,94","2,00","7,00","7,00","5,00","-2,89","6,00","7,00",NOM,"4,00","5,00","1,65","555,80","525,60","10,12","34,05","20,69","16,44","2,43",pantalon,"6,81","0,40","6,00","7,00","7,00","1,00","-1,61","7,00","7,00",NOM,"8,00","0,00","2,80","683,00","545,24","31,49","57,91","21,51","15,17","5,47"
jus-eau,juice water,"6,20","3,00","0,01","3,62","1,85","1,00","7,00","4,00","6,00","-0,03","2,00","5,00",jus,"6,00","1,09","3,00","7,00","6,00","4,00","-0,79","5,00","7,00",NOM,"3,00","14,00","1,25","653,67","535,62","22,36","23,04","65,71","41,07","12,16",eau,"6,41","1,01","3,00","7,00","7,00","4,00","-1,93","6,00","7,00",NOM,"3,00","4,00","1,45","657,06","494,53","290,61","417,84","367,20","132,25","194,92"
lâche-peureux,cowardly fearful,"3,04","1,00",NA,"4,20","1,84","1,00","7,00","5,00","6,00","-0,10","3,00","5,00",lâche,"2,88","1,57","1,00","6,00","3,00","5,00","0,54","2,00","4,00",ADJ,"5,00","10,00","1,30","663,79","506,66","24,65","12,70","18,23","25,47","26,86",peureux,"3,19","1,48","1,00","7,00","3,00","6,00","0,67","2,00","4,00",ADJ,"7,00","1,00","2,25","727,30","648,57","1,25","2,16","1,58","0,36","0,20"
lait-fromage,milk cheese,"6,62","3,00","0,01","4,15","1,62","1,00","6,00","5,00","5,00","-0,73","3,00","5,00",lait,"6,48","0,78","4,00","7,00","7,00","3,00","-1,43","6,00","7,00",NOM,"4,00","9,00","1,30","562,52","518,36","59,41","62,23","116,33","31,39","22,39",fromage,"6,77","0,55","5,00","7,00","7,00","2,00","-2,40","7,00","7,00",NOM,"7,00","0,00","1,90","611,70","509,29","25,68","20,81","54,12","28,97","8,71"
lapin-écureuil,rabbit squirrel,"6,73","3,00",NA,"2,90","1,88","1,00","6,00","2,50","5,00","0,30","1,00","5,00",lapin,"6,71","0,74","4,00","7,00","7,00","3,00","-2,72","7,00","7,00",NOM,"5,00","8,00","1,50","639,09","492,25","26,59","16,76","17,81","31,72","4,71",écureuil,"6,74","0,55","5,00","7,00","7,00","2,00","-2,07","7,00","7,00",NOM,"8,00","0,00","3,20","655,71","572,05","5,71","8,85","3,34","2,67","0,79"
lettre-message,letter message,"5,63","3,00",NA,"4,93","1,39","1,00","7,00","5,00","6,00","-1,44","5,00","6,00",lettre,"6,11","1,29","1,00","7,00","7,00","6,00","-2,04","6,00","7,00",NOM,"6,00","2,00","1,75","608,48","491,83","108,79","140,88","74,74","53,75","77,39",message,"5,15","1,54","1,00","7,00","5,00","6,00","-0,68","4,00","6,00",NOM,"7,00","1,00","1,85","680,68","526,66","99,70","31,15","97,31","172,09","78,33"
leurre-illusion,lure illusion,"3,12","1,00",NA,"4,93","1,71","1,00","7,00","5,00","6,00","-0,70","4,00","6,00",leurre,"3,38","1,92","1,00","7,00","3,00","6,00","0,45","2,00","5,00",NOM,"6,00","3,00","1,70","809,78","615,91","2,12","2,16","3,43","1,05","1,96",illusion,"2,86","1,66","1,00","6,00","3,00","5,00","0,77","2,00","3,00",NOM,"8,00","1,00","2,50","650,65","529,37","11,19","30,27","26,18","7,12","9,12"
lézard-fourmi,lizard ant,"6,48","3,00",NA,"2,46","1,68","1,00","7,00","2,00","6,00","1,10","1,00","4,00",lézard,"6,59","0,72","4,00","7,00","7,00","3,00","-1,89","6,00","7,00",NOM,"6,00","0,00","1,85","618,70","525,78","4,90","7,50","1,88","1,73","1,02",fourmi,"6,36","1,53","1,00","7,00","7,00","6,00","-3,22","7,00","7,00",NOM,"6,00","3,00","1,80","651,17","561,60","2,78","5,14","4,10","2,24","1,81"
liberté-autonomie,freedom autonomy,"3,13","1,00",NA,"4,28","1,53","1,00","7,00","5,00","6,00","-0,79","3,50","5,00",liberté,"2,94","2,17","1,00","7,00","2,00","6,00","0,79","1,00","4,75",NOM,"7,00","0,00","2,40","658,38","527,88","76,28","93,31","174,15","55,38","122,05",autonomie,"3,31","1,79","1,00","7,00","3,00","6,00","0,40","2,00","4,00",NOM,"9,00","0,00","2,65","622,04","619,60","2,76","2,16","21,69","13,55","28,12"
lichen-champignon,lichen mushroom,"5,78","3,00",NA,"3,41","1,69","1,00","7,00","4,00","6,00","-0,06","2,00","5,00",lichen,"5,09","2,20","1,00","7,00","6,00","6,00","-1,01","4,00","7,00",NOM,"6,00","1,00","1,85","883,00",NA,"0,10","1,28","0,52","0,25","0,09",champignon,"6,48","1,15","2,00","7,00","7,00","5,00","-2,64","7,00","7,00",NOM,"10,00","0,00","3,25","649,81",NA,"3,34","3,99","4,82","2,24","3,01"
lien-attache,bond tie,"4,15","2,00",NA,"5,68","0,96","4,00","7,00","6,00","3,00","-0,02","5,00","6,00",lien,"3,73","1,55","1,00","7,00","4,00","6,00","-0,29","3,00","5,00",NOM,"4,00","11,00","1,25","567,78","518,12","23,47","18,18","109,02","244,41","66,87",attache,"4,58","1,87","1,00","7,00","4,00","6,00","-0,19","3,00","6,00",NOM,"7,00","2,00","1,65","672,29","527,51","1,82","3,99","14,14","4,52","6,49"
liquide-gaz,liquid gaz,"5,27","2,00",NA,"2,94","1,93","1,00","7,00","3,00","6,00","0,50","1,00","4,00",liquide,"5,34","1,52","2,00","7,00","6,00","5,00","-0,74","4,00","7,00",ADJ,"7,00","2,00","2,00","585,68","481,38","7,48","12,03","43,38","7,95","16,72",gaz,"5,19","1,86","1,00","7,00","5,50","6,00","-0,64","4,00","7,00",NOM,"3,00","7,00","1,55","586,79","503,16","36,33","28,65","54,91","22,83","79,88"
lit-armoire,bed wardrobe,"6,77","3,00",NA,"2,53","1,73","1,00","6,00","2,00","5,00","0,71","1,00","4,00",lit,"6,84","0,44","5,00","7,00","7,00","2,00","-2,92","7,00","7,00",VER,"3,00","19,00","1,00","606,16","490,91","14,22","24,86","119,19","177,43","24,08",armoire,"6,70","0,69","4,00","7,00","7,00","3,00","-2,53","7,00","7,00",NOM,"7,00","1,00","2,00","707,15","545,33","9,05","38,58","8,07","4,12","2,48"
litige-conflit,dispute conflict,"3,98","2,00",NA,"5,55","1,31","1,00","7,00","6,00","6,00","-1,61","5,00","6,00",litige,"4,18","1,75","1,00","7,00","4,00","6,00","0,05","3,00","5,00",NOM,"6,00","0,00","1,95",NA,NA,"0,57","0,74","3,00","1,16","5,14",conflit,"3,78","1,61","1,00","7,00","4,00","6,00","0,39","3,00","5,00",NOM,"7,00","0,00","1,90","689,04","519,85","9,63","11,08","42,56","10,26","56,76"
logiciel-programme,software program,"4,54","2,00","0,03","5,00","1,40","1,00","7,00","5,00","6,00","-1,12","5,00","6,00",logiciel,"4,58","2,04","1,00","7,00","5,00","6,00","-0,49","3,00","6,00",ADJ,"8,00","1,00","3,25","630,88","553,08","0,20","0,00","21,08","46,13","14,03",programme,"4,50","1,70","1,00","7,00","4,50","6,00","-0,15","3,00","6,00",NOM,"9,00","2,00","2,15","680,18","515,54","44,16","21,89","121,28","126,21","175,19"
logique-raison,logic reason,"3,07","1,00","0,14","4,72","1,55","1,00","7,00","5,00","6,00","-0,94","4,00","6,00",logique,"3,14","2,02","1,00","7,00","3,00","6,00","0,55","1,00","4,00",ADJ,"7,00","0,00","1,95","611,68","521,71","13,79","11,22","70,95","48,08","52,76",raison,"3,00","1,37","1,00","5,00","3,00","4,00","0,07","2,00","4,00",NOM,"6,00","3,00","1,75","605,29","511,67","424,28","247,50","262,27","237,40","263,93"
loyal-fidèle,loyal faithful,"3,05","1,00","0,05","5,63","1,52","1,00","7,00","6,00","6,00","-1,49","5,00","7,00",loyal,"2,79","1,39","1,00","7,00","3,00","6,00","0,73","2,00","3,00",ADJ,"5,00","2,00","1,85","578,87","526,47","5,87","3,72","1,73","0,79","1,99",fidèle,"3,31","1,78","1,00","7,00","3,00","6,00","0,47","2,00","4,75",ADJ,"6,00","0,00","2,20","643,88","517,57","20,04","27,43","31,15","16,87","23,62"
loyauté-honnêteté,loyalty honnesty,"3,09","1,00",NA,"4,70","1,80","1,00","7,00","5,00","6,00","-0,80","3,25","6,00",loyauté,"2,95","1,70","1,00","7,00","3,00","6,00","0,88","2,00","4,00",NOM,"7,00","2,00","2,40","640,32","576,05","9,36","2,97","4,06","1,23","3,54",honnêteté,"3,24","1,71","1,00","7,00","3,00","6,00","0,76","2,00","4,00",NOM,"9,00","0,00","3,75","642,70","582,12","7,20","6,42","9,04","2,64","4,91"
luge-traîneau,sledge sleigh,"6,67","3,00","0,03","4,68","1,34","1,00","7,00","5,00","6,00","-0,77","4,00","6,00",luge,"6,58","0,75","4,00","7,00","7,00","3,00","-1,82","6,00","7,00",NOM,"4,00","7,00","1,50","660,74","557,80","1,19","1,42","0,67","3,21","2,57",traîneau,"6,77","0,43","6,00","7,00","7,00","1,00","-1,38","7,00","7,00",NOM,"8,00","0,00","2,30","689,41","589,48","2,27","3,45","1,85","0,76","0,85"
lumineux-éclairé,bright illuminated,"4,29","2,00",NA,"5,77","1,07","3,00","7,00","6,00","4,00","-1,12","5,00","6,00",lumineux,"4,41","1,85","1,00","7,00","4,00","6,00","-0,01","3,00","6,00",ADJ,"8,00","0,00","2,70","620,52","564,95","4,79","23,24","12,83","5,06","6,75",éclairé,"4,17","1,77","1,00","7,00","4,00","6,00","0,03","3,00","6,00",VER,"7,00","3,00","1,70","608,60","593,58","1,48","11,22","6,70","3,07","3,68"
lunette-jumelle,glasses binoculars,"6,45","3,00","0,01","3,90","1,74","1,00","7,00","4,00","6,00","-0,10","3,00","5,00",lunette,"6,78","0,48","5,00","7,00","7,00","2,00","-2,16","7,00","7,00",NOM,"7,00","2,00","1,80","637,91","528,53","1,71","7,43","1,79","4,55","1,14",jumelle,"6,11","1,08","4,00","7,00","7,00","3,00","-0,84","5,00","7,00",ADJ,"7,00","1,00","1,90","661,79","506,35","1,17","2,36","2,24","2,42","2,75"
lutte-guerre,struggle war,"4,86","2,00",NA,"4,44","1,52","1,00","7,00","5,00","6,00","-0,68","4,00","5,50",lutte,"4,26","1,50","1,00","7,00","4,00","6,00","-0,06","3,00","5,00",NOM,"5,00","7,00","1,45","592,44","524,72","22,00","37,36","93,13","25,79","104,17",guerre,"5,45","1,33","2,00","7,00","6,00","5,00","-0,58","4,25","6,75",NOM,"6,00","0,00","1,95","646,92","518,65","212,82","338,65","276,87","76,87","150,58"
luxe-richesse,luxury wealth,"3,42","1,00","0,01","4,98","1,60","1,00","7,00","5,00","6,00","-0,79","4,00","6,00",luxe,"3,46","1,53","1,00","7,00","3,00","6,00","0,60","2,00","5,00",NOM,"4,00","5,00","1,50","554,58","507,23","15,42","38,65","29,03","23,99","46,62",richesse,"3,38","1,58","1,00","7,00","3,00","6,00","0,49","2,00","4,00",NOM,"8,00","0,00","2,70","609,44","517,55","8,44","14,66","46,87","7,62","18,24"
magazine-journal,magazine newspaper,"6,42","3,00",NA,"4,90","1,60","1,00","7,00","5,00","6,00","-0,82","4,00","6,00",magazine,"6,46","1,12","1,00","7,00","7,00","6,00","-1,46","6,00","7,00",NOM,"8,00","1,00","2,55","616,14","534,43","14,03","7,03","43,86","48,62","39,25",journal,"6,38","1,01","3,00","7,00","7,00","4,00","-1,96","6,00","7,00",NOM,"7,00","0,00","2,60","627,39","537,87","72,50","124,32","108,57","105,95","120,07"
magique-féerique,magic magical,"2,59","1,00",NA,"5,35","1,17","1,00","7,00","6,00","6,00","-1,47","5,00","6,00",magique,"2,58","1,34","1,00","6,00","2,00","5,00","0,53","1,75","4,00",ADJ,"7,00","0,00","1,95","715,58","528,43","21,84","19,80","42,44","51,15","12,10",féerique,"2,61","1,41","1,00","6,00","3,00","5,00","0,34","1,00","4,00",ADJ,"8,00","0,00","2,70","864,59","622,08","0,42","2,36","1,73","0,72","1,08"
maire-président,mayor president,"5,55","3,00","0,06","2,98","1,82","1,00","7,00","3,00","6,00","0,46","1,00","4,00",maire,"5,74","1,45","2,00","7,00","6,00","5,00","-1,06","5,00","7,00",NOM,"5,00","9,00","1,20","747,00","556,50","27,91","13,11","47,26","34,86","278,34",président,"5,35","1,71","1,00","7,00","6,00","6,00","-1,00","4,00","7,00",VER,"9,00","1,00","1,80","642,42","560,80","0,41","0,27","224,23","116,82","986,02"
